Country/Region,Population,Continent
Afghanistan,38041754,Asia
Albania,2880917,Europe
Algeria,43053054,Africa
Andorra,77142,Europe
Angola,31825295,Africa
Antigua and Barbuda,97118,Americas
Argentina,44780677,Americas
Armenia,2957731,Asia
Australia,25203198,Oceania
Austria,8955102,Europe
Azerbaijan,10047718,Asia
Bahamas,389482,Americas
Bahrain,1641172,Asia
Bangladesh,163046161,Asia
Barbados,287025,Americas
Belarus,9452411,Europe
Belgium,11539328,Europe
Belize,390353,Americas
Benin,11801151,Africa
Bhutan,763092,Asia
Bolivia,11513100,Americas
Bosnia and Herzegovina,3301000,Europe
Botswana,2303697,Africa
Brazil,211049527,Americas
Brunei,433285,Asia
Bulgaria,7000119,Europe
Burkina Faso,20321378,Africa
Burma,54045420,Asia
Burundi,10864245,Africa
Cabo Verde,549935,Africa
Cambodia,16486542,Asia
Cameroon,25876380,Africa
Canada,37411047,Americas
Central African Republic,4745185,Africa
Chad,15946876,Africa
Chile,18952038,Americas
China,1433783686,Asia
Colombia,50339443,Americas
Comoros,850886,Africa
Congo (Brazzaville),5380508,Africa
Congo (Kinshasa),86790567,Africa
Costa Rica,5047561,Americas
Cote d'Ivoire,25716544,Africa
Croatia,4130304,Europe
Cuba,11333483,Americas
Cyprus,1179551,Asia
Czechia,10689209,Europe
Denmark,5771876,Europe
Diamond Princess,2670,Cruise ship
Djibouti,973560,Africa
Dominica,71808,Americas
Dominican Republic,10738958,Americas
Ecuador,17373662,Americas
Egypt,100388073,Africa
El Salvador,6453553,Americas
Equatorial Guinea,1355986,Africa
Eritrea,3497117,Africa
Estonia,1325648,Europe
Eswatini,1148130,Africa
Ethiopia,112078730,Africa
Fiji,889953,Oceania
Finland,5532156,Europe
France,65129728,Europe
Gabon,2172579,Africa
Gambia,2347706,Africa
Georgia,3996765,Asia
Germany,83517045,Europe
Ghana,28833629,Africa
Greece,10473455,Europe
Grenada,112003,Americas
Guatemala,17581472,Americas
Guinea,12771246,Africa
Guinea-Bissau,1920922,Africa
Guyana,782766,Americas
Haiti,11263770,Americas
Holy See,799,Europe
Honduras,9746117,Americas
Hungary,9684679,Europe
Iceland,339031,Europe
India,1366417754,Asia
Indonesia,270625568,Asia
Iran,82913906,Asia
Iraq,39309783,Asia
Ireland,4882495,Europe
Israel,8519377,Asia
Italy,60550075,Europe
Jamaica,2948279,Americas
Japan,126860301,Asia
Jordan,10101694,Asia
Kazakhstan,18551427,Asia
Kenya,52573973,Africa
"Korea, South",51225308,Asia
Kosovo,1810000,Europe
Kuwait,4207083,Asia
Kyrgyzstan,6415850,Asia
Laos,7169455,Asia
Latvia,1906743,Europe
Lebanon,6855713,Asia
Lesotho,2125268,Africa
Liberia,4937374,Africa
Libya,6777452,Africa
Liechtenstein,38019,Europe
Lithuania,2759627,Europe
Luxembourg,615729,Europe
MS Zaandam,1432,Cruise ship
Madagascar,26969307,Africa
Malawi,18628747,Africa
Malaysia,31949777,Asia
Maldives,530953,Asia
Mali,19658031,Africa
Malta,440372,Europe
Mauritania,4525696,Africa
Mauritius,1198575,Africa
Mexico,127575529,Americas
Moldova,4043263,Europe
Monaco,38964,Europe
Mongolia,3225167,Asia
Montenegro,627987,Europe
Morocco,36471769,Africa
Mozambique,30366036,Africa
Namibia,2494530,Africa
Nepal,28608710,Asia
Netherlands,17097130,Europe
New Zealand,4783063,Oceania
Nicaragua,6545502,Americas
Niger,23310715,Africa
Nigeria,200963599,Africa
North Macedonia,2083459,Europe
Norway,5378857,Europe
Oman,4974986,Asia
Pakistan,216565318,Asia
Panama,4246439,Americas
Papua New Guinea,8776109,Oceania
Paraguay,7044636,Americas
Peru,32510453,Americas
Philippines,108116615,Asia
Poland,37887768,Europe
Portugal,10226187,Europe
Qatar,2832067,Asia
Romania,19364557,Europe
Russia,145872256,Europe
Rwanda,12626950,Africa
Saint Kitts and Nevis,52823,Americas
Saint Lucia,182790,Americas
Saint Vincent and the Grenadines,110589,Americas
San Marino,33860,Europe
Sao Tome and Principe,211028,#N/A
Saudi Arabia,34268528,Asia
Senegal,16296364,Africa
Serbia,8772235,Europe
Seychelles,97739,Africa
Sierra Leone,7813215,Africa
Singapore,5804337,Asia
Slovakia,5457013,Europe
Slovenia,2078654,Europe
Solomon Islands,669823,Oceania
Somalia,15442905,Africa
South Africa,58558270,Africa
South Sudan,11062113,Africa
Spain,46736776,Europe
Sri Lanka,21323733,Asia
Sudan,42813238,Africa
Suriname,581372,Americas
Sweden,10036379,Europe
Switzerland,8591365,Europe
Syria,17070135,Asia
Taiwan*,23773876,Asia
Tajikistan,9321018,Asia
Tanzania,58005463,Africa
Thailand,69037513,Asia
Timor-Leste,1293119,Asia
Togo,8082366,Africa
Trinidad and Tobago,1394973,Americas
Tunisia,11694719,Africa
Turkey,83429615,Asia
US,329064917,Americas
Uganda,44269594,Africa
Ukraine,43993638,Europe
United Arab Emirates,9770529,Asia
United Kingdom,67530172,Europe
Uruguay,3461734,Americas
Uzbekistan,32981716,Asia
Venezuela,28515829,Americas
Vietnam,96462106,Asia
West Bank and Gaza,4981420,Asia
Western Sahara,582463,Africa
Yemen,29161922,Asia
Zambia,17861030,Africa
Zimbabwe,14645468,Africa
